item_number,item_description,group_name,vendor_price_usd,price_valid_till,notes,price_expired,phase_out_flag,vendor,vendor_brand,country,price_type,source_file
616187000,Flexiarapid 125x1.0x22.2 Inox           ,Accessory,1.144,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616188000,"Flexiarapid super 115x1,0x22,2 steel    ",Accessory,1.0595,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616189000,"Flexiarapid super 125x1.0x22.23steel,   ",Accessory,1.144,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616191000,Flexiarapid super 115x1.6x22.23 steel   ,Accessory,1.0595,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616192000,Flexiarapid super 125x1.6x22.23steel    ,Accessory,1.144,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616195000,"Flexiamant super 115x1,5x22,2 ceramics  ",Accessory,1.248,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616196000,"Flexiamant super 125x1,5x22,2 ceramics  ",Accessory,1.378,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616198000,"Flex.super FKS 60 125x4,0x22,23 Inox    ",Accessory,1.9565,2026-03-31,Phase out - Confirmar disponibilidad,True,True,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616202000,"Flexiamant super 300x3,0x25,4 steel     ",Accessory,4.069,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616203000,"Flexiamant super 350x3,5x25,4 steel     ",Accessory,6.0385,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616204000,"Flexiamant super 400x4,0x25,4 steel     ",Accessory,7.884500000000001,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616208000,Flexiarapid super 115x0.8x22.23 Inox    ,Accessory,1.3585,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
