item_number,item_description,vendor,vendor_brand,country,price_type,vendor_price_usd,pt_price_ca35,pt_price_ca40,phase_out_flag,ronix_fob_price_usd,vendor_price_jmd
1429,"7"" Diagonal Cutting Pliers",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1430,"8"" Linesman Pliers",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1432,"11"" Long Reach Pliers",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1433,"11"" Long Reach Bent Pliers",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1434,"2 pc. 6"" Plier Set",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1435,5 pc. Snap Ring Plier Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1436,Revolving Leather Hole Punch Pliers,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1437,Straight Cut Aviation Tin Snips,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1439,50 pk. Utility Knife Blades,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1440,13 pc. Hobby Knife Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1446,"6 pc. 6"" File Set",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1448,2 pc. Scissors Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1449,"3 pc. 9"" Plastic Brush Set",Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1450,2 pc. Wood Handle Wire Brush,Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1451,12 pc. Long Handle Artist Brush Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1452,5 pc. Polyester Paint Brush Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1455,10 pc. Bungee Cord Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1456,Drill Pump,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1459,13 pc. HSS Drill Bit Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1462,3 pc. Rotary Wire Brush Set,Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1463,Wire Wheel Brush Set,Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1464,16 oz. Claw Hammer w/Wood Handle,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1465,16 oz. Ball Pein Hammer w/Wood Handle,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1466,32 oz. Rubber Mallet Wood Handle,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1472,"13"" Tool Bag",Workpro,Workpro,China,landed,4.35,3.79,3.49,,,682.880835
1474,25' Cushion Grip Tape Measure,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1475,"Caution Tape 3"" x 300' Roll",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1477,2 pc. Square Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1479,2 pc. Pickup Tool Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1480,Tire Repair Kit,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1482,150 pc. Cable Ties,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1485,Soldering Iron,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1486,Automotive Circuit Tester,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1488,25 pc. Auto Fuse Kit,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1489,30 pc. Mini Fuse Kit,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1491,3 pc. C-Clamp Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1496,15 pc. Paint Brush Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1502,5 pc. Brush Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1503,3 pc. Power Drive Socket Adapter Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1513,3 pc. Soft Grip Mini Brush Set,Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1516,12 pk. Glowing Ball Bungees,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1518,Tape Gun w/Packing Tape,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1520,"6"" Multi-Use Hand Wire Brush",Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1523,16 pc. Drill Adapter and Bit Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1529,12 oz. Claw Hammer w/Fiberglass Handle,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1530,8.5 oz. Hand Pump Oiler Can,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1531,8 pc. Folding Star Key Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1532,4 pc. Auto Trim Remove Tool Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1533,Oil Filter Wrench w/Swivel Handle,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1534,"9"" Half Barrel Caulking Gun",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1535,"1/4"" x 10' Recoil Air Hose",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1536,145 pc. Cotter Pin Set w/Removal Tool,Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1537,4 pc. Socket Adapter Set,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1538,4-in-1 Battery Terminal Cleaner,Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1539,"4"" Angled Blow Gun",Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1540,3 Speed Mini Desk/Travel Fan Li-Ion,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1542,Fuel & Fluid Transfer Siphon Pump,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
1543,5 pc. Auto Detailing Brush Set,Workpro,Workpro,China,landed,4.47,4.26,3.93,,,701.718927
1544,Precision Utility Cutter,Workpro,Workpro,China,landed,3.97,3.79,3.49,,,623.2268770000001
179,500LM Li-Ion COB Clip Light,Workpro,Workpro,China,landed,9.35,9.26,8.54,,,1467.801335
189,1000LM Li-Ion Work Light w/Power Bank,Workpro,Workpro,China,landed,17.18,16.85,15.56,,,2696.9868380000003
1903,2 pc. Strap Wrench Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1904,"1/2"" Dr. Ratchet",Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1906,"10 pc. 1/2"" Dr. Socket Set",Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1908,21 pc. Offset Ratcheting Driver,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1909,10 pc. Screwdriver Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1910,7 pc. SAE Nut Driver Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1911,3 pc. Pry Bar Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1912,5 pc. Scraper and Awl Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1913,"11"" Locking C-Clamp Pliers",Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1914,2 pc. Locking Plier Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1916,3 pc. Plier Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1919,"12"" Bolt Cutter",Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1922,5 pc. Scissors Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1925,"12"" Heavy-Duty Aluminum Hacksaw",Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1928,"2 pc. 1"" x 15' Tie Down Straps",Workpro,Workpro,China,landed,8.07,7.67,7.08,,,1266.861687
1929,10 pc. Bungee Cord Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1930,14' Emergency Tow Rope,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1934,20 oz Framing Hammer w/Fiberglass Handle,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1935,2 lb. Sledge Hammer w/Fiberglass Handle,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1936,1 lb. Dead Blow Hammer,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1939,"15"" Wide-Mouth Tool Bag",Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1941,2 pc. Cushion Grip Tape Measure,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1942,150' Open Reel Tape Measure,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1943,1000 pc. Cable Ties,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1944,49 pc. Hand Rivet Gun Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1945,3-Way Staple Gun,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1947,13 pc. Harmonic Balancer Puller Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1948,14GA 8' Battery Jumper Cables,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1949,6 Outlet Power Strip,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1950,40 pc. Socket Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1951,44 pc. Ratcheting Bit Driver Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1960,2 pc. Pocket Knife,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1973,15 pc. Assorted Chip Brushes,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1976,3 pk. Folding Utility Knives w/Blades,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1977,"35"" Extended Reach Grabber",Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1980,8 pc. Hook & Pick Set,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1982,40-Watt Heavy Duty Glue Gun,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1983,"Small Paint Roller, Brush, and Tray Kit",Workpro,Workpro,China,landed,8.07,7.67,7.08,,,1266.861687
1985,Class-2 High Visibility Safety Vest XL,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1986,Class-2 High Visibility Safety Vest 5XL,Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
1987,"12 pc. Hole Saw Kit 3/4 to 2-1/2""",Workpro,Workpro,China,landed,7.17,6.82,6.29,,,1125.5759970000001
2001,Project Pro Large Tool Table Assortment,Workpro,Workpro,China,landed,2117.8,2016.71,1861.58,,,332460.92698000005
2001-R,Large Tool Table Restock Assortment 2001,Workpro,Workpro,China,landed,1058.9,1008.35,930.78,,,166230.46349000002
2006,Project Pro Small Tool Table Assortment,Workpro,Workpro,China,landed,874.51,832.49,768.45,,,137284.165291
2006-R,Small Tool Table Restock Assortment 2006,Workpro,Workpro,China,landed,437.26,416.23,384.22,,,68642.867566
2010,Large Tool Table Merchandiser,Workpro,Workpro,China,landed,278.92,260.66,240.61,,,43786.005172000005
20100,2 pk. PTFE Thread Sealing Tape,Workpro,Workpro,China,landed,0.73,0.69,0.64,,,114.598393
