item_number,item_description,product_description,order_quantity,qty_per_carton,cbm_per_carton,fob_unit_price_usd,estimated_landed_price_usd,freight_factor_applied,NOTE_ronix_pricing,vendor,vendor_brand,country,price_type,source_file
2420-3,vibrator shaft 2m,vibrator shaft 2m,0,4,0.07,12.42,16.146,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
2420-5,vibrator shaft 3m,vibrator shaft 3m,0,2,0.056,16.36,21.268,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
9001,Tamping Rammer,"Engine Type LONCIN LC168F-2H
Engine Displacement 196 cc
Motor Power 4.1 Kw
No Load Speed 1800±150 RPM
Fuel Type Gasoline
Fuel Tank Capacity 2.8 L
Engine Oil Capacity 0.6 L
Starting System Mechanical
Fuel Consumption ≤395 g/Kwh
Impact Force 10 kN
Vibrations Per Minute 450-650 VPM
Max. Jumping Stroke 65 mm
Noise Level 108 dB
Engine Starting Method Recoil Start
Compactor Plate Dimensions 340×290 mm
Weight 75 Kg
Accessories A sleeve",0,1,,474.69,617.097,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
9002,Tamping Rammer,"Engine Type HONDA GX160-SD2
Engine Displacement 163cc
Motor Power 3.6Kw
No Load Speed 1800±150RPM
Fuel Type Gasoline
Fuel Tank Capacity 2.8L
Engine Oil Capacity 0.6L
Starting System Mechanical
Fuel Consumption ≤395g/Kw×h
Impact Force 10KN
Vibrations Per Minute 450-650VPM
Max. Jumping Stroke 65mm
Noise Level 108dB
Engine Starting Method Recoil Start
Compactor Plate Dimensions 340×290mm
Weight 75Kg
Packaging Carton",0,1,,609.41,792.233,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
9030,"CONCRETE
CUTTER","Accessories A Sleeve
Engine Type LONCIN G390F
Engine Power 8.2Kw
Engine Displacement 389cc
Max Cutting Depth 140mm
No-load Speed 1400±150RPM
Fuel Tank Capacity 6.5L
Noise Level 108dB
Starting System Mechanical
Fuel Type Gasoline
Body Material Iron
Engine oil capacity 1.1L
Blade Diameter 300-450mm
Weight 113Kg
Packaging Carton
Accessories A Sleeve",0,1,,496.85,645.905,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
9031,"CONCRETE
CUTTER","Model 9031
Engine Type Honda GX390
Engine Power 8.2Kw
Engine Displacement 389cc
Cutting Depth 140mm
No-load Speed 1400±150RPM
Fuel Tank Capacity 6.1L
Noise Level 108dB
Starting System Mechanical
Fuel Type Gasoline
Body Material Iron
Engine oil capacity 1.1L
Blade Diameter 300-450mm
Weight 113Kg
Packaging Carton
Accessories A Sleeve",0,1,,768.87,999.531,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
9010,"PLATE
COMPACTOR","Engine Type LONCIN G200F
Engine Displacement 196cc
Motor Power 4.1Kw
No Load Speed 1400±150RPM
Fuel Type Gasoline
Fuel Tank Capacity 3.6L
Engine Oil Capacity 0.6L
Starting System Mechanical
Fuel Consumption ≤395g/Kwh
Impact Force 15KN
Vibrations Per Minute 4200VPM
Compaction Depth 300mm
Noise Level 108dB
Engine Starting Method Recoil Start
Compactor Plate Dimensions 550×440mm
Weight 88Kg
Packaging Carton",0,1,,330.87,430.131,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
9011,"PLATE
COMPACTOR","EngAincec eTsyspoer iHesO NA DsAle eGvXe160
Engine Displacement 163cc
Motor Power 3.6Kw
No Load Speed 1400±150RPM
Fuel Type Gasoline
Fuel Tank Capacity 3.1L
Engine Oil Capacity 0.58L
Starting System Mechanical
Fuel Consumption ≤395g/Kwh
Impact Force 15KN
Vibrations Per Minute 4200VPM
Compaction Depth 300mm
Noise Level 108dB
Engine Starting Method Recoil Start
Compactor Plate Dimensions 550×440mm
Weight 88Kg
Packaging Carton",0,1,,450.96,586.248,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
9020,POWER TROWEL,"Accessories A sleeve
Engine Type LONCIN G200F
Engine Power 4.1kW
Engine Displacement 196cc
Starting System Mechanical
Blade Diameter 34.3in/87cm
Pan Diameter 95cm
Rotor Diameter 95cm
Blade Material Steel
No-load Speed 1400±150RPM
Fuel Tank Capacity 3.6L
Noise Level 108dB
Engine oil capacity 0.6L
Weight 91Kg (Including Pan)
Packaging Carton
Accessories A Sleeve",0,1,,405.07,526.591,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
9021,POWER TROWEL,"Engine Type HONDA GX160
Engine Power 3.6kW
Engine Displacement 163cc
Starting System Mechanical
Blade Diameter 34.3in/87cm
Pan Diameter 95 cm
Rotor Diameter 95 cm
Blade Material Steel
No-load Speed 1400±150RPM
Fuel Tank Capacity 3.1L
Noise Level 108dB
Engine oil capacity 0.58L
Weight 91Kg(Including Pan)
Packaging Carton
Accessories A Sleeve",0,1,,525.2,682.76,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
