item_number,item_description,product_description,order_quantity,qty_per_carton,cbm_per_carton,fob_unit_price_usd,estimated_landed_price_usd,freight_factor_applied,NOTE_ronix_pricing,vendor,vendor_brand,country,price_type,source_file
3260,"Angle Grinder
230mm","Power : 2200 W
No Load Speed : 6600 RPM
Wheel Diameter : 230mm
Spindle Thread : M14
Weight : 4.33kg",0,4,0.0468,40.67,52.871,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3260BS,"Angle Grinder
230mm","Power : 2200 W
No Load Speed : 6600 RPM
Wheel Diameter : 230mm
Spindle Thread : M14
Weight : 4.33kg",0,4,0.0438,42.24,54.912,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3270,"Angle Grinder
180mm","Power : 2800 W
No Load Speed : 6500 RPM
Wheel Diameter : 180mm
Spindle Thread : M14
Weight : 6.3kg",0,2,0.0315,49.29,64.077,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3280,Angle Grinder 230mm,"Power : 2800 W
No Load Speed : 6600 RPM
Wheel Diameter : 230mm
Spindle Thread : M14
Weight : 6.5kg",0,2,0.0324,49.45,64.285,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3280BS,Angle Grinder 230mm,"Power : 2800 W
No Load Speed : 6600 RPM
Wheel Diameter : 230mm
Spindle Thread : M14
Weight : 6.5kg",0,2,0.0315,49.97,64.961,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3301,"Long- Short Neck Die
Grinder
6 mm","Power : 710 W
No Load Speed : 12000~28000 rpm
Collet Diameter : 6 mm
Weight : 1.5 kg",0,10,0.0353,22.87,29.731,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3302,"Long- Short Neck Die
Grinder
6 mm","Power : 710 w
No Load Speed : 12000-28000 rpm
collect diameter : 6 mm
Weight : 1.8 kg",0,10,0.0525,24.17,31.421,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3303,"Die Grinder
6 mm","Power : 840w
No Load Speed : 7000-28000RPM
collect diameter : 6 mm
Weight : 1.8 kg",0,10,0.0492,27.46,35.698,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3310,"VERTICAL
GRINDER 150mm","Voltage 220-240V
Frequency 50-60Hz
Wheel Diameter 150mm
Weight 5.5Kg
Power 1000W
No load Speed 3300-5800RPM",0,4,0.0548,33.95,44.135,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3403,"Rotory Tool Kit
130 w","Power : 130 w
No Load Speed : 10000-35000 rpm
Weight : 0.66 kg
BMC Case
Accessory",0,10,0.0759,14.67,19.071,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3404,"Rotory Tool Kit
135 w","Power : 135 w
No Load Speed : 10000-32000 rpm
Weight : 0.77 kg
Accessory",0,#N/A,#N/A,,,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3411,"Marble Cutter
1500w","Power : 1500 W
No Load Speed : 13000 RPM
Dia. of Cutting Blade : 115 mm
max cutting capacity: 34mm
Net. Weight : 2.5 Kg
BMC case
1Pair Carbon Brush",0,6,0.08,23.58,30.654,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3411BS,"Marble Cutter
1500w","Power : 1500 W
No Load Speed : 13000 RPM
Dia. of Cutting Blade : 115 mm
max cutting capacity: 34mm
Net. Weight : 2.5 Kg
BMC case
1Pair Carbon Brush",0,6,0.08,24.09,31.317,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3412,"Wall chaser
2000 W","Power : 2000 W
No Load Speed :
6000 RPM
Dia. of Cutting Blade : 125 mm
Width of cutting : 9-30 mm
Depth of cutting : 0-35 mm
Net. Weight : 3.5 Kg
Accessories BMC case- 2Pcs Cutting Disk- 1Pair Carbon Brush",0,2,0.0691,59.19,76.947,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3420,"Cordless Mini Grinder
3.6 V","Voltage : 3.6
Capacity : 1.5 Ah
Weight : 0.24 Kg
Speed setting : 6
No load speed : 5000-18000 RPM",0,6,0.0407,18.9,24.57,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3421,"Cordless Mini Grinder
8 V","Voltage : 8
Capacity : 2 Ah
Weight : 0.4 Kg
Speed setting : 5
No load speed : 5000-30000 RPM",0,#N/A,#N/A,,,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3509N,"Bench Grinder
125 mm","Size : 125 mm
Length of cable : 2m; European-style VDE
Rated input power : 150 w
Wheel size : φ125x25xφ16 mm
Aluminum wiring motor
Speed: 2950 min",0,1,0.0202,21.6,28.08,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3510,"Bench Grinder
150 mm","Size : 150 mm
Length of cable : 2m; European-style VDE
Rated input power : 220 w
Wheel size : φ150x25xφ16 mm
Aluminum wiring motor
Speed: 2950 min",0,1,0.0251,23.55,30.615,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3590,Bench Polisher,"Voltage 220-240V
Frequency 50-60Hz
Shaft diameter 8mm
Power 1300W
No load speed 4000-7000RPM",0,4,0.0725,59.14,76.882,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4010,Sheep Clipper,"Voltage 220-240V
Frequency 50-60Hz
Weight 1.88Kg
Power 850W
Speed 0-2600RPM",0,5,0.0611,35.0,45.5,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4090,Pet Cleaner,"Voltage 220-240V
Frequency 50-60Hz
Capacity 4L
Power 300W
No load level 9400-14400-
35000RPM",0,4,0.0998,44.97,58.461,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4101,"Electric Jigsaw 3
Cutting Speed","Voltage 220-240V
Frequency 50-60Hz
Weight 2Kg
Power 550W
No load speed 0-3000RPM",0,8,0.0442,18.3,23.79,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4110,"Electric Jigsaw 4
Cutting Speed","Voltage 220-240V
Frequency 50-60Hz
Weight 3Kg
Power 600W
No load speed 500-2500RPM",0,4,0.0618,45.91,59.683,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4120,"Electric Jigsaw 4
Cutting Speed","Voltage 220-240V
Frequency 50-60Hz
Weight 2.75Kg
Power 650W
No load speed 0-3100RPM",0,6,0.0452,33.48,43.524,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4121,Jig Saw,"Voltage 220-240V
Frequency 50-60Hz
Weight 2.6Kg
Power 750W
No load speed 850-2600RPM",0,,,31.05,40.365,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4150,"Electric Jigsaw 4
Cutting speed","Voltage 220-240V
Frequency 50-60Hz
Weight 2Kg
Power 550W
No load speed 1000-3000RPM",0,6,0.0348,18.99,24.687,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4150BS,"Electric Jigsaw 4
Cutting speed","Voltage 220-240V
Frequency 50-60Hz
Weight 2Kg
Power 550W
No load speed 1000-3000RPM",0,6,0.032,18.86,24.518,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4203,Multi-Functional Tool,"Voltage 220-240V
Frequency 50-60Hz
Weight 1.35Kg
Power 250W
Oscillating Angle 3.2°
No load speed 10000-21000OPM",0,5,0.0185,21.53,27.989,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4221,"Reciprocating Saw
705 W","Voltage 220-240V
Frequency 50-60Hz
Weight 2.85Kg
Power 705W
No load speed 800-3000RPM",0,5,0.0476,25.21,32.773,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4311,"Circular Saw
1500 W","Voltage 220-240V
Frequency 50-60Hz
Weight 4.2Kg
Power 1500W
No load speed 4800RPM",0,4,0.0737,32.4,42.12,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4311BS,"Circular Saw
1500 W","Voltage 220-240V
Frequency 50-60Hz
Weight 4.2Kg
Power 1500W
No load speed 4800RPM",0,4,0.0728,32.44,42.172,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4312,Circular Saw 710W,"Voltage 220-240V
Frequency 50-60Hz
Power 710W
Weight 2.68Kg
Max Cutting Blade Size φ125mm
No load speed 4500RPM",0,4,0.0614,31.0,40.3,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4320,"Circular saw
2000 W","Voltage 220-240V
Frequency 50-60Hz
Weight 6Kg
Power 2000W
No load speed 4200RPM",0,#N/A,#N/A,,,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4323,"Circular saw
2800 W","Voltage 220-240V
Frequency 50-60Hz
Weight 7.7Kg
Power 2800W
No load speed 4600RPM",0,2,0.0677,56.02,72.826,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4323BS,"Circular Saw
2800 W","Voltage 220-240V
Frequency 50-60Hz
Weight 7.7Kg
Power 2800W
No load speed 4600RPM",0,2,0.0677,56.03,72.839,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
4350,Plunge Saw 165mm,"Voltage 220-240V
Frequency 50-60Hz
Weight 5.2Kg
Power 1200W
No load speed 6000RPM",0,1,0.107,102.53,133.289,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5003,"Dual Bevel Sliding
Miter Saw 1800W","Voltage 220-240V
Frequency 50-60Hz
Weight 23.6kg
Power 1800W
No load speed 5000RPM
Max cutting capacity 0°/90°89x310mm",0,1,0.2374,131.88,171.444,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5302,"Sliding Miter Saw
2000 W","Voltage 220-240V
Frequency 50-60Hz
Weight 18.2Kg
Power 2000W
No load speed 5300RPM
Max cutting capacity 0°/90°70x300mm",0,1,0.215,130.98,170.274,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5303,"Sliding Miter Saw
2000 W","Voltage 220-240V
Frequency 50-60Hz
Weight 20.7Kg
Power 2000W
No load speed 4300RPM
Max cutting capacity 0°/90°95x310mm",0,1,0.289,146.95,191.035,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5304,"Ingle Bevel Sliding
Miter Saw 1800w","Power : 1800 W
No Load Speed : 5200 rpm
Sawblade : 255 mm
Weight : 20 kg",0,1,0.1966,105.31,136.903,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5100,Miter Saw 210mm,"Voltage 220-240V
Frequency 50-60Hz
Weight 7.4Kg
Power 1450W
No load speed 5000RPM
Max cutting capacity 0°/90°60x120mm",0,1,0.0601,55.94,72.722,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5103,Miter Saw 255mm,"Voltage 220-240V
Frequency 50-60Hz
Weight 12Kg
Power 2000W
No load speed 5300RPM",0,1,0.0992,91.35,118.755,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5301,"Sliding Miter Saw
255mm","Voltage 220-240V
Frequency 50-60Hz
Weight 11Kg
Power 1450W
No load speed 5000RPM",0,1,0.1158,80.75,104.975,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5601,"Dust-Collection Table
Saw
216 mm","Voltage 220-240V
Frequency 50-60Hz
Weight 19.5Kg
Power 2000W
No load speed 5000RPM
Max cutting capacity 90° :60mm
45° :40mm",0,1,0.1475,154.11,200.343,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5602,"Electric Table Saw
216 mm","Voltage 220-240V
Frequency 50-60Hz
Weight 10Kg
Power 1200W
No load speed 4800RPM
Max cutting capacity 0° :51mm
45° :35mm",0,1,0.0866,62.69,81.497,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5603,"Electric Table Saw
250 mm","Voltage 220-240V
Frequency 50Hz
Weight 20Kg
Power 2000W
No load speed 4800RPM
Max cutting capacity 0° :85mm
45° :53mm",0,1,0.1277,94.67,123.071,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5603V,"Electric Table Saw
250 mm","Voltage 220-240V
Frequency 50Hz
Weight 20Kg
Power 2000W
No load speed 4800RPM
Max cutting capacity 0° :85mm
45° :53mm",0,1,0.1277,97.36,126.568,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5604,"Electric Table Saw
216 mm","Voltage 220-240V
Frequency 50Hz
Weight 21Kg
Power 2000W
No load speed 4800RPM
Max cutting capacity 0° :72mm
45° :50mm",0,1,0.1654,132.6,172.38,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5605,"Electric Table Saw
315 mm","Voltage 220-240V
Frequency 50Hz
Weight 48Kg
Power 2000W
No load speed 2950RPM
Max cutting capacity 0° 83mm
45° 50mm",0,0.5,0.279,198.64,258.232,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5620,Tile Cutter,"Voltage 220-240V
Frequency 50Hz
Weight 23.45Kg
Power 800W
No load Speed 2990RPM
Max Cutting Length 620mm",0,1,0.1846,154.38,200.694,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5621,Tile Cutter,"Voltage 220-240V
Frequency 50Hz
Weight 53.7Kg
Power 1500W
No load Speed 2990RPM
Max Cutting Length 920mm",0,1,0.5746,304.81,396.253,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5633,"Thickness Planer
machine 330 mm","Voltage 220-240V
Frequency 50-60Hz
Weight 27Kg
Power 2000W
No load speed 10000RPM
Max Cutter Depth 160mm",0,1,0.1095,164.96,214.448,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5701,Scroll Saw 216mm,"Voltage 220-240V
Frequency 50Hz
Weight 11Kg
Power 120W
No load speed 400-1600 RPM
Max cutting capacity 0°:50mm
45°:23mm",0,1,0.0762,66.65,86.645,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5720,Band Saw 200mm,"Voltage 220-240V
Frequency 50-60Hz
Weight 15.9Kg
Power 350W
No load speed 1500RPM
Cutting capacity 0°:80mm
45°:50mm",0,1,0.0803,74.79,97.227,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5810,Miter Saw Stand,"Size Extensin :207x61x100cm
Fold:111x26x25cm
Maximum Weight Capacity 150Kg
Extension length 470mm
Full length 2070mm
Fold length 1110mm
Max Cutting Length 920mm",0,1,0.0538,42.74,55.562,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5836,Cold Cutting Machine,"Max Capacity In Round Steel 100mm
Max Capacity In Square Steel 100×100mm
Max Capacity In Rectangle Steel 100×120mm
Max Capacity In Angle Steel 90mm
Blade Diameter 355mm
Power 2600W
Voltage 220-240V
No Load Speed 1200RPM
Frequency 50-60Hz
Wheel Dimensions 355mm
Wheel Material Ceramic alloy
Weight NW21Kg/ GW23.1Kg
Accessories spanner, carbon brush",0,1,0.1281,134.07,174.291,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5901,"Cut Off saw
2300 W","Voltage 220-240V
Frequency 50-60Hz
Weight 17Kg
Power 2300W
No load speed 4000RPM",0,#N/A,#N/A,,,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5902,"Cut Off saw
2400 W","Voltage 220-240V
Frequency 50-60Hz
Weight 18Kg
Power 2400W
No load speed 3900RPM",0,1,0.0835,67.13,87.269,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5905,"Cut off saw
355mm","Power:2400W
Max Capacity in Rectangle Steel：100×120mm
Max Capacity in Round Steel： 100mm
Max Capacity in Square Steel: 100×100mm
Max Capacity in Angle Steel: 90mm
Blade Diameter:355mm
No-load Speed:3900RPM
Weight NW:16.5Kg/ GW:18.5Kg",0,1,0.0907,60.62,78.806,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5906,Cut off Saw 355mm,"Voltage 220-240V
Frequency 50-60Hz
Weight 18.5Kg
Power 2600W
No load speed 3900RPM",0,1,0.1142,65.76,85.488,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5906BS,Cut off Saw 355mm,"Voltage 220-240V
Frequency 50-60Hz
Weight 18.5Kg
Power 2600W
No load speed 3900RPM",0,1,0.1142,66.28,86.164,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5910,Cut Off Saw,,0,1,0.0814,53.06,68.978,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
5918,Cut off Saw 180mm,"Voltage 220-240V
Frequency 50-60Hz
Weight 7.5Kg
Power 1280W
No load speed 7000RPM",0,2,0.04,53.8,69.94,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6110,"Electric polisher
1200 W","Voltage 220-240V
Frequency 50-60Hz
Weight 3.2Kg
Power 1200W
No load speed 600-3000RPM",0,4,0.0699,35.9,46.67,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6112,"Electric polisher
1400 W","Voltage 220-240V
Frequency 50-60Hz
Weight 2.85Kg
Power 1400W
No load speed 800-3000RPM",0,4,0.0524,31.15,40.495,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6112BS,"Electric polisher
1400 W","Voltage 220-240V
Frequency 50-60Hz
Weight 2.85Kg
Power 1400W
No load speed 800-3000RPM",0,4,0.0513,29.08,37.804,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6115,"Vertical Polisher
1050W","Voltage 220-240V
Frequency 50-60Hz
Weight 2.3Kg
Power 1050W
No load speed 600-2000RPM",0,5,0.0446,34.29,44.577,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6122,"Dual Action Polisher
1200 W","Voltage 220-240V
Frequency 50-60Hz
Weight 2.85Kg
Power 1200W
No load speed 1600-4500RPM",0,4,0.0584,44.5,57.85,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6122BS,"Dual Action Polisher
1200 W","Voltage 220-240V
Frequency 50-60Hz
Weight 2.85Kg
Power 1200W
No load speed 1600-4500RPM",0,4,0.0584,40.81,53.053,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6200,Drywall sander 820W,"Voltage 220-240V
Frequency 50-60Hz
Grinding pad diameter 215mm
Net weight 3.5Kg
No load speed 600-1900RPM
Tube diameter 38mm",0,2,0.1056,74.43,96.759,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6200K,Drywall sander 820W,"Voltage 220-240V
Frequency 50-60Hz
Grinding pad diameter 215mm
Net weight 3.5Kg
No load speed 600-1900RPM
Tube diameter 38mm",0,2,0.1505,82.05,106.665,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6201,Drywall Sander 810W,"Voltage 220-240V
Frequency 50-60Hz
Motor Type Brush motor
Grinding Pad Diameter 180mm
Power 810W
No load Speed 1500-2800RPM",0,2,0.0518,37.8,49.14,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6315,"Belt & Disc Sander
Sander 350W","Voltage 220-240V
Frequency 50Hz
Weight 12Kg
Power 350W
No load speed 1450RPM
Total height 321mm",0,1,0.0412,59.83,77.779,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
6315BS,"Belt & Disc Sander
Sander 350W","Voltage 220-240V
Frequency 50Hz
Weight 12Kg
Power 350W
No load speed 1450RPM
Total height 321mm",0,1,0.0427,59.78,77.714,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
