item_number,item_description,pt_current_price,pt_cpl35_price,pt_price_change_pct,standard_pack,inner_qty,master_qty,upc,class_code,class_desc,brand_code,brand_desc,subclass_code,subclass_desc,group_name,is_new_item,pt_price_ca35,pt_price_ca40,vendor,vendor_brand,country,price_type,source_file
1114,2 pc. File Set,1.87,1.87,0.0,1.0,4,24,39564141249.0,3,Hardware Tools,3.0,Project Pro,9,Files,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1116,Parts Cleaning Brush,2.11,2.1,-0.0047393364928909,1.0,4,24,39564141263.0,40,Accessories,3.0,Project Pro,2,Brushes,Yellow Card,,2.01,1.86,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1117,12 pc. Acid Brush Set,1.87,1.87,0.0,1.0,4,48,39564141270.0,40,Accessories,3.0,Project Pro,2,Brushes,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1119,2 pc. Paint Brush Set,1.87,1.87,0.0,1.0,4,24,39564141294.0,40,Accessories,3.0,Project Pro,2,Brushes,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1120,10 pc. Artist Brush Set,1.87,1.87,0.0,1.0,4,48,39564141300.0,40,Accessories,3.0,Project Pro,2,Brushes,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1121,3 pc. Wire Brush Set,2.11,2.1,-0.0047393364928909,1.0,4,24,39564141317.0,40,Accessories,3.0,Project Pro,2,Brushes,Yellow Card,,2.01,1.86,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1122,50' Polypropylene Rope,1.87,1.87,0.0,1.0,4,24,39564141324.0,30,Tie Down & Cargo Control,3.0,Project Pro,5,Ropes,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1123,3 pc. Bungee Cord Set,1.87,1.87,0.0,1.0,4,24,39564141331.0,30,Tie Down & Cargo Control,3.0,Project Pro,1,Bungee Cords,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1127,Safety Glasses,1.87,1.87,0.0,1.0,4,24,39564141379.0,40,Accessories,3.0,Project Pro,11,Safety Gear,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1129,8 oz. Rubber Mallet Wood Handle,1.87,1.87,0.0,1.0,4,24,39564141393.0,3,Hardware Tools,3.0,Project Pro,10,Hammers & Mallets,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1135,5 pk. Multi-Color Electrical Tape,1.87,1.87,0.0,1.0,4,48,39564141454.0,40,Accessories,3.0,Project Pro,1,Adhesives & Tapes,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1144,4 pc. Plastic Funnel Set (2 to 13 oz.),1.87,1.87,0.0,1.0,4,24,39564141546.0,5,Maintenance & Repair,3.0,Project Pro,12,Funnels & Drain Pans,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1147,Mini Suction Cup,1.87,1.87,0.0,1.0,4,48,39564141577.0,5,Maintenance & Repair,3.0,Project Pro,1,Auto Body Repair,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1148,3 pc. Magnetic Key Holders,1.87,1.87,0.0,1.0,4,24,39564141584.0,40,Accessories,3.0,Project Pro,7,Key Chains & Holders,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1150,20 pc. Auto Fuse Assortment,1.87,1.87,0.0,1.0,4,48,39564141607.0,35,Hardware Kits,3.0,Project Pro,4,Electrical,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1159,8 pk. Heavy Duty Glue Sticks,1.87,1.87,0.0,1.0,6,48,39564130014.0,40,Accessories,3.0,Project Pro,1,Adhesives & Tapes,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1168,"1.88"" x 55 Yards Packing Tape",1.87,1.87,0.0,1.0,4,48,39564132049.0,40,Accessories,3.0,Project Pro,1,Adhesives & Tapes,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1170,"4"" Magnetic Parts Tray - Stainless",1.87,1.87,0.0,1.0,4,24,39564001499.0,20,Equipment,3.0,Project Pro,8,Magnetic Storage,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1171,Battery Post Brush w/Felt Washers,2.11,2.1,-0.0047393364928909,1.0,4,24,39564000140.0,5,Maintenance & Repair,3.0,Project Pro,5,Battery Cleaners,Yellow Card,,2.01,1.86,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1172,"11"" Multi-Purpose Extended Scraper",1.87,1.87,0.0,1.0,4,24,39564149986.0,3,Hardware Tools,3.0,Project Pro,22,Scrapers & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1173,"3 pc. Plastic Putty Knife Set 1.5-2-3""",1.87,1.87,0.0,1.0,4,48,39564149979.0,3,Hardware Tools,3.0,Project Pro,22,Scrapers & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1174,"3 pc. Plastic Putty Knife set 1.5-3-6""",1.87,1.87,0.0,4.0,4,48,39564149962.0,3,Hardware Tools,3.0,Project Pro,22,Scrapers & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1175,"50' x 7/32"" Braided Poly Rope",1.87,1.87,0.0,1.0,4,48,39564149955.0,30,Tie Down & Cargo Control,3.0,Project Pro,5,Ropes,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1176,8-in-1 Jar Lid Opener w/Rubber Grip,1.87,1.87,0.0,1.0,4,48,39564149948.0,3,Hardware Tools,3.0,Project Pro,8,Fastening,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1177,"8"" Magnetic Level w/Angle Finder",1.87,1.87,0.0,1.0,4,144,39564153129.0,3,Hardware Tools,3.0,Project Pro,16,Measuring & Layout Tools,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
